XP_005043850.1	PREDICTED: opsin-3 [Ficedula albicollis]	0.0
XP_032909859.1	opsin-3 [Catharus ustulatus]	0.0
XP_015475813.1	opsin-3 [Parus major]	0.0
XP_014740701.1	PREDICTED: opsin-3 [Sturnus vulgaris]	0.0
XP_018772506.2	opsin-3 [Serinus canaria]	0.0
XP_005487619.1	opsin-3 [Zonotrichia albicollis]	0.0
XP_005518564.1	PREDICTED: opsin-3 [Pseudopodoces humilis]	0.0
XP_030801769.1	opsin-3 [Camarhynchus parvulus]	0.0
XP_021382869.1	opsin-3 [Lonchura striata domestica]	0.0
XP_030124071.2	opsin-3 [Taeniopygia guttata]	0.0
XP_031958088.1	opsin-3 [Corvus moneduloides]	0.0
XP_017591851.1	PREDICTED: opsin-3 [Corvus brachyrhynchos]	0.0
XP_010560907.1	PREDICTED: opsin-3 [Haliaeetus leucocephalus]	0.0
XP_030303970.1	opsin-3 [Calypte anna]	0.0
XP_009327424.1	PREDICTED: opsin-3 [Pygoscelis adeliae]	0.0
XP_009274457.1	PREDICTED: LOW QUALITY PROTEIN: opsin-3 [Aptenodytes forsteri]	0.0
XP_027513211.1	opsin-3 [Corapipo altera]	0.0
XP_027540200.1	opsin-3 [Neopelma chrysocephalum]	0.0
XP_017662114.1	PREDICTED: opsin-3 [Lepidothrix coronata]	0.0
XP_032540414.1	opsin-3 [Chiroxiphia lanceolata]	0.0
XP_027606500.1	opsin-3 [Pipra filicauda]	0.0
XP_027644960.1	opsin-3 [Falco peregrinus]	0.0
XP_009461844.1	PREDICTED: opsin-3 [Nipponia nippon]	0.0
XP_014806034.1	PREDICTED: opsin-3 [Calidris pugnax]	0.0
XP_032299662.1	opsin-3 [Coturnix japonica]	0.0
XP_030355612.1	opsin-3 [Strigops habroptila]	0.0
XP_005146066.2	opsin-3 [Melopsittacus undulatus]	0.0
XP_029891735.1	opsin-3 [Aquila chrysaetos chrysaetos]	0.0
XP_426139.2	opsin-3 [Gallus gallus]	0.0
XP_009907471.1	PREDICTED: opsin-3 [Picoides pubescens]	0.0
XP_021248229.1	opsin-3 [Numida meleagris]	0.0
XP_031448269.1	opsin-3 [Phasianus colchicus]	0.0
XP_025958437.1	opsin-3 isoform X1 [Dromaius novaehollandiae]	0.0
XP_013799264.1	PREDICTED: opsin-3 [Apteryx mantelli mantelli]	0.0
XP_005436612.1	opsin-3 [Falco cherrug]	0.0
XP_013056798.1	PREDICTED: opsin-3 [Anser cygnoides domesticus]	0.0
XP_010705129.2	opsin-3, partial [Meleagris gallopavo]	0.0
XP_025900584.1	opsin-3 [Nothoprocta perdicaria]	0.0
XP_035178707.1	opsin-3 [Oxyura jamaicensis]	0.0
XP_005508722.1	opsin-3 isoform X1 [Columba livia]	0.0
XP_012958902.3	opsin-3 [Anas platyrhynchos]	0.0
XP_032041691.1	opsin-3 [Aythya fuligula]	0.0
XP_010177947.1	PREDICTED: opsin-3, partial [Mesitornis unicolor]	0.0
XP_007440155.1	opsin-3 [Python bivittatus]	0.0
XP_005996890.1	PREDICTED: opsin-3 [Latimeria chalumnae]	0.0
XP_030051067.1	opsin-3 [Microcaecilia unicolor]	0.0
XP_015672176.1	opsin-3 [Protobothrops mucrosquamatus]	0.0
XP_026561062.1	opsin-3 [Pseudonaja textilis]	0.0
XP_033000243.1	opsin-3 [Lacerta agilis]	0.0
XP_026525105.1	opsin-3 [Notechis scutatus]	0.0
XP_034284158.1	opsin-3 [Pantherophis guttatus]	0.0
XP_034620920.1	opsin-3 [Trachemys scripta elegans]	0.0
XP_019383196.1	PREDICTED: opsin-3 [Gavialis gangeticus]	0.0
XP_028579947.1	opsin-3 [Podarcis muralis]	0.0
XP_032070695.1	opsin-3 [Thamnophis elegans]	0.0
XP_008122094.1	PREDICTED: opsin-3 [Anolis carolinensis]	0.0
XP_034966418.1	opsin-3 [Zootoca vivipara]	0.0
XP_019405346.1	PREDICTED: opsin-3 [Crocodylus porosus]	0.0
XP_024059325.1	opsin-3 [Terrapene carolina triunguis]	0.0
XP_020644024.1	opsin-3 [Pogona vitticeps]	0.0
XP_015280052.1	PREDICTED: opsin-3 [Gekko japonicus]	0.0
XP_029449874.1	opsin-3-like [Rhinatrema bivittatum]	0.0
XP_032626986.1	opsin-3 [Chelonoidis abingdonii]	0.0
XP_028676659.1	opsin-3 [Erpetoichthys calabaricus]	0.0
XP_006268885.3	PREDICTED: opsin-3 [Alligator mississippiensis]	0.0
XP_025958438.1	opsin-3 isoform X2 [Dromaius novaehollandiae]	0.0
XP_027726783.1	opsin-3-like isoform X2 [Vombatus ursinus]	0.0
XP_030412845.1	opsin-3 [Gopherus evgoodei]	0.0
XP_020837717.1	opsin-3 [Phascolarctos cinereus]	0.0
XP_031822818.1	opsin-3 [Sarcophilus harrisii]	0.0
XP_023779589.1	opsin-3 [Cyanistes caeruleus]	0.0
XP_035255545.1	opsin-3 [Anguilla anguilla]	0.0
XP_030628785.1	opsin-3 [Chanos chanos]	0.0
XP_006638720.1	PREDICTED: opsin-3 [Lepisosteus oculatus]	0.0
XP_010397418.2	opsin-3 [Corvus cornix cornix]	0.0
XP_017571286.1	PREDICTED: opsin-3 [Pygocentrus nattereri]	0.0
XP_030912145.1	opsin-3 [Geospiza fortis]	0.0
XP_026869951.1	opsin-3 [Electrophorus electricus]	0.0
XP_007258763.2	opsin-3 [Astyanax mexicanus]	0.0
XP_007892106.1	PREDICTED: opsin-3 [Callorhinchus milii]	0.0
XP_027784287.1	opsin-3 isoform X1 [Marmota flaviventris]	0.0
XP_010200828.1	PREDICTED: opsin-3, partial [Colius striatus]	0.0
XP_015339026.1	PREDICTED: opsin-3 [Marmota marmota marmota]	0.0
XP_005326631.1	opsin-3 isoform X1 [Ictidomys tridecemlineatus]	0.0
XP_033791409.1	opsin-3 [Geotrypetes seraphini]	0.0
XP_009701163.1	PREDICTED: opsin-3 [Cariama cristata]	0.0
XP_008948641.1	PREDICTED: opsin-3, partial [Merops nubicus]	0.0
XP_028845483.1	opsin-3 [Denticeps clupeoides]	0.0
XP_009571354.1	PREDICTED: opsin-3, partial [Fulmarus glacialis]	0.0
XP_001377924.1	PREDICTED: opsin-3 isoform X2 [Monodelphis domestica]	0.0
XP_032175293.1	opsin-3 [Mustela erminea]	0.0
XP_029110199.1	opsin-3 [Scleropages formosus]	0.0
XP_032864774.1	opsin-3 [Tyto alba alba]	0.0
XP_003963715.1	opsin-3 isoform X1 [Takifugu rubripes]	0.0
XP_029926483.1	opsin-3 [Myripristis murdjan]	0.0
XP_034537083.1	opsin-3 [Notolabrus celidotus]	0.0
XP_008278391.1	PREDICTED: opsin-3 [Stegastes partitus]	0.0
XP_032396941.1	opsin-3 [Etheostoma spectabile]	0.0
XP_026798286.1	opsin-3 [Pangasianodon hypophthalmus]	0.0
XP_029963146.1	opsin-3 [Salarias fasciatus]	0.0
XP_012672463.1	opsin-3 [Clupea harengus]	0.0
XP_033468732.1	opsin-3 [Epinephelus lanceolatus]	0.0
XP_030298256.1	opsin-3 [Sparus aurata]	0.0
XP_023132445.1	opsin-3 [Amphiprion ocellaris]	0.0
XP_022073070.1	opsin-3 [Acanthochromis polyacanthus]	0.0
XP_010732894.1	opsin-3 [Larimichthys crocea]	0.0
XP_026209740.1	opsin-3 [Anabas testudineus]	0.0
XP_023281450.1	opsin-3 [Seriola lalandi dorsalis]	0.0
XP_026165475.1	opsin-3 [Mastacembelus armatus]	0.0
XP_016311986.1	PREDICTED: opsin-3-like [Sinocyclocheilus anshuiensis]	0.0
XP_024431844.1	opsin-3 [Desmodus rotundus]	0.0
XP_010002924.1	PREDICTED: opsin-3 [Chaetura pelagica]	0.0
XP_031152743.1	opsin-3 [Sander lucioperca]	0.0
XP_016085611.1	PREDICTED: opsin-3-like [Sinocyclocheilus grahami]	0.0
XP_009500624.1	PREDICTED: opsin-3 [Phalacrocorax carbo]	0.0
XP_027030722.1	opsin-3 [Tachysurus fulvidraco]	0.0
XP_026133802.1	opsin-3-like isoform X1 [Carassius auratus]	0.0
XP_029377522.1	opsin-3 [Echeneis naucrates]	0.0
XP_010144378.1	PREDICTED: opsin-3, partial [Buceros rhinoceros silvestris]	0.0
XP_004375910.1	opsin-3 [Trichechus manatus latirostris]	0.0
XP_022599495.1	opsin-3 [Seriola dumerili]	0.0
XP_019737439.1	PREDICTED: opsin-3 [Hippocampus comes]	0.0
XP_014828801.1	PREDICTED: opsin-3 [Poecilia mexicana]	0.0
XP_007940909.1	PREDICTED: opsin-3 [Orycteropus afer afer]	0.0
XP_020508939.1	opsin-3 [Labrus bergylta]	0.0
XP_017319608.1	PREDICTED: opsin-3 [Ictalurus punctatus]	0.0
XP_005795233.1	opsin-3 [Xiphophorus maculatus]	0.0
XP_016417245.1	PREDICTED: opsin-3-like [Sinocyclocheilus rhinocerous]	0.0
XP_026113727.1	opsin-3-like [Carassius auratus]	0.0
