Gene Species Taxon Signature
0 VDO76747.1_unnamed_protein_product_Heligmosomoides_polygyrus VDO76747.1_unnamed_protein_product_Heligmosomoides_polygyrus 0.00736622610379
0 XP_014034902.1_PREDICTED_MICAL-like_protein_1_isoform_X1_Salmo_salar XP_014034902.1_PREDICTED_MICAL-like_protein_1_isoform_X1_Salmo_salar 0.0519200958281
0 XP_019482002.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Hipposideros_armiger XP_019482002.1_PREDICTED_RPE-retinal_G_protein-coupled_receptor_Hipposideros_armiger 0.021388723376
0 tr|A0A4W5LPW7|A0A4W5LPW7_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_4_SV_1 tr|A0A4W5LPW7|A0A4W5LPW7_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Hucho_hucho_OX_62062_PE_4_SV_1 0.0519200958281
0 XP_010894692.2_chemokine-like_receptor_1_Esox_lucius XP_010894692.2_chemokine-like_receptor_1_Esox_lucius 0.00714990562042
0 tr|A0A3B5B775|A0A3B5B775_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Stegastes_partitus_OX_144197_PE_4_SV_1 tr|A0A3B5B775|A0A3B5B775_9TELE_G_PROTEIN_RECEP_F1_2_domain-containing_protein_OS_Stegastes_partitus_OX_144197_PE_4_SV_1 0.00230229630436
0 RDD40953.1_Opsin-5_Trichoplax_sp._H2 RDD40953.1_Opsin-5_Trichoplax_sp._H2 0.00388543590036
0 KOO28473.1_hypothetical_protein_Ctob_003518_Chrysochromulina_tobinii KOO28473.1_hypothetical_protein_Ctob_003518_Chrysochromulina_tobinii 0.0519200958281
0 XP_026548776.1_free_fatty_acid_receptor_3-like_Notechis_scutatus XP_026548776.1_free_fatty_acid_receptor_3-like_Notechis_scutatus 0.021388723376
0 XP_029965122.1_melanin-concentrating_hormone_receptor_2-like_Salarias_fasciatus XP_029965122.1_melanin-concentrating_hormone_receptor_2-like_Salarias_fasciatus 0.00388543590036
0 PSN54238.1_hypothetical_protein_C0J52_09248_partial_Blattella_germanica PSN54238.1_hypothetical_protein_C0J52_09248_partial_Blattella_germanica 0.00736622610379
0 KAF1319001.1_putative_opsin-like_receptor_Schistosoma_haematobium KAF1319001.1_putative_opsin-like_receptor_Schistosoma_haematobium 0.00736622610379
0 VDP70128.1_unnamed_protein_product_Echinostoma_caproni VDP70128.1_unnamed_protein_product_Echinostoma_caproni 0.021388723376
0 XP_017345648.1_PREDICTED_cysteinyl_leukotriene_receptor_2-like_Ictalurus_punctatus XP_017345648.1_PREDICTED_cysteinyl_leukotriene_receptor_2-like_Ictalurus_punctatus 0.00388543590036
0 XP_017342273.1_PREDICTED_G-protein_coupled_receptor_6_isoform_X1_Ictalurus_punctatus XP_017342273.1_PREDICTED_G-protein_coupled_receptor_6_isoform_X1_Ictalurus_punctatus 0.00388543590036
0 AAS67108.1_rhodopsin_partial_Graneledone_verrucosa AAS67108.1_rhodopsin_partial_Graneledone_verrucosa 0.0519200958281
0 XP_015395433.1_PREDICTED_olfactory_receptor_4K3-like_Panthera_tigris_altaica XP_015395433.1_PREDICTED_olfactory_receptor_4K3-like_Panthera_tigris_altaica 0.00714990562042
0 SBS01924.1_chemokine_C-X-C_motif_receptor_3.2_Nothobranchius_rachovii SBS01924.1_chemokine_C-X-C_motif_receptor_3.2_Nothobranchius_rachovii 0.00714990562042
