
NP_001081388.1_melatonin_receptor_type_1C_Xenopus_laevis	MelatoninRs	Blue	Blue
XP_013773454.1_5-hydroxytryptamine_receptor_2A-like_Limulus_polyphemus	5-hydroxytryptamineRs	Cyan	Cyan
XP_001503427.1_trace_amine-associated_receptor_5_Equus_caballus	TraceAmineA-Rs	DarkGreen	DarkGreen
RDD42723.1_Rhodopsin_GQ-coupled_Trichoplax_sp._H2	LabelOpsins	LightBlue	Blue
RDD37110.1_Prostaglandin_E2_receptor_EP4_subtype_Trichoplax_sp._H2	ProstaglandinRs	Red	Red
RDD38885.1_Thyrotropin_receptor_Trichoplax_sp._H2	ThyrotropinRs	Yellow	Yellow
Bispira_guinensis_TRINITY_DN25405_c0_g1_i1|ORF1	RelaxinRs	Brown	Brown
RDD37320.1_G-protein_coupled_receptor_GRL101-like_protein_Trichoplax_sp._H2	GRLs101	Orange	Orange
ODM88781.1_Gonadotropin-releasing_hormone_receptor_partial_Orchesella_cincta	Gonadotropin-Releasing-HRs	Cyan	Cyan
XP_028850659.1_vasopressin_V2_receptor-like_isoform_X1_Denticeps_clupeoides	VasopressinV2Rs	DarkGreen	Darkgreen
XP_003691479.1_pyrokinin-1_receptor-like_Apis_florea	Pyrokinin1Rs	Pink	Pink
XP_032663552.1_neuropeptides_capa_receptor-like_isoform_X1_Odontomachus_brunneus	NeuropeptidesCappaRs	Purple	Purple
XP_029355889.1_neuromedin-U_receptor_1_Echeneis_naucrates	NeuromedinU1Rs	SteelBlue	SteelBlue
XP_004775322.2_PREDICTED_motilin_receptor_Mustela_putorius_furo	MotilinRs	LightGreen	LightGreen
XP_010863977.1_thyrotropin-releasing_hormone_receptor_b_Esox_lucius	Thyrotropin-Releasing-HRs	Tomato	Tomato
Stylomma_palmatum_TRINITY_DN30840_c0_g1_i1|ORF4	FMRFamideRs	Lime	Lime

NP_001038152.1_neuropeptide_Y_receptor_type_6_Gallus_gallus	NeuropeptidesY	DarkOrange	DarkOrange
XP_032063726.1_probable_G-protein_coupled_receptor_83_isoform_X2_Aythya_fuligula	GPCR83	Green	Green
XP_032513055.1_tachykinin-like_peptides_receptor_99D_isoform_X1_Danaus_plexippus_plexippus	TachykininRs	Brown	Brown
XP_018617945.1_substance-P_receptor_Scleropages_formosus	SubstanceP-Rs	LightBlue	LightBlue
XP_021451289.1_neuromedin-K_receptor-like_Oncorhynchus_mykiss	NeromedinK-Rs	Red	Red
XP_020797233.1_substance-K_receptor-like_Boleophthalmus_pectinirostris	SubstanceK-Rs	Brown	Brown
XP_022355335.1_neuropeptide_FF_receptor_1_Enhydra_lutris_kenyoni	NeropeptideFF-Rs	Blue	Blue

XP_029445517.1_C-C_chemokine_receptor_type_3-like_Rhinatrema_bivittatum	C-C-ChemokineRs	Pink	Pink
XP_031594370.1_relaxin-3_receptor_1-like_Oreochromis_aureus	RelaxinRs	Lime	Lime
XP_026076444.1_C3a_anaphylatoxin_chemotactic_receptor-like_Carassius_auratus	AnaphylatoxinChRs	Purple	Purple
XP_020464182.1_chemokine-like_receptor_1_Monopterus_albus	ChemokineRs	Orange	Orange
TKS93154.1_Leukotriene_B4_receptor_1_Collichthys_lucidus	LeukotrieneB4-Rs	Yellow	Yellow

XP_026131481.1_probable_G-protein_coupled_receptor_25_Carassius_auratus	GPCR25	Blue	Blue
XP_023446202.1_G-protein_coupled_receptor_161_isoform_X3_Dasypus_novemcinctus GPCR161	Purple	Purple
XP_002113406.1_hypothetical_protein_TRIADDRAFT_57535_Trichoplax_adhaerens	MissidetifiedGPCRs2	Brown	Brown
XP_004368926.1_neuromedin-B_receptor_Trichechus_manatus_latirostris	NeuromedinB-Rs	Tomato	Tomato
XP_031618278.1_allatostatin-A_receptor-like_Contarinia_nasturtii AllostatinA-Rs	Blue	Blue
XP_032900198.1_somatostatin_receptor_type_2-like_Amblyraja_radiata	SomatostatinRs	Green	Green
XP_026186276.1_cysteinyl_leukotriene_receptor_1_Mastacembelus_armatus	CysteinylLeukotrieneRs	Yellow	Yellow
XP_034040855.1_G-protein_coupled_receptor_26-like_Thalassophryne_amazonica	GPCR26	Brown	Brown
XP_023375703.1_G-protein_coupled_receptor_161_isoform_X1_Pteropus_vampyrus	GPCR161	Lime	Lime
XP_031618278.1_allatostatin-A_receptor-like_Contarinia_nasturtii	AllostatinA-Rs	Yellow	Yellow

RDD43163.1_Rhodopsin_GQ-coupled_Trichoplax_sp._H2	MissidentifiedGPCRs1	Red	Red

# Use the last entry as outgroup for rooting the tree
NP_001014890.1_rhodopsin_Bos_taurus	Opsins	Black	White
